,0,1
0,0.26298025,-0.10652768
1,-0.08031454,-0.121772096
2,-0.1717574,0.25925514
3,0.06989192,-0.005574843
4,0.019139847,-0.22619832
5,0.06265418,0.15602832
6,-0.007960467,-0.1261802
7,-0.23158644,-0.15099086
8,0.16760318,-0.037936132
9,0.085270636,0.25565416
10,0.16567321,-0.084449954
11,-0.2367165,0.13773954
12,-0.18452221,-0.1816754
13,-0.021870885,0.10333102
14,-0.0050086887,0.115481816
15,0.20221505,-0.07095123
16,0.17020673,0.21001327
17,-0.013381306,-0.06698545
18,-0.11396404,-0.1602055
19,0.17784406,-0.21093771
20,-0.16123001,-0.021020252
21,-0.0774233,-0.026338965
22,0.22399291,0.12333907
23,-0.13249236,-0.069968805
24,0.057472784,-0.11044637
25,-0.23022847,-0.046536054
26,-0.077205926,0.15090556
27,0.18174268,0.090448886
28,-0.0676518,0.023064917
29,0.0491502,-0.04733298
30,-0.025414616,0.21918885
31,0.17950395,-0.019042095
32,-0.12643455,-0.038137186
33,0.22345546,-0.1684821
34,0.2315362,0.0096759545
35,-0.17347188,-0.22851628
36,-0.07667174,0.24296078
37,0.15969864,0.012354212
38,0.10590773,-0.13281053
39,0.017152283,-0.23425305
40,-0.19079511,0.118636556
41,0.22182326,0.22092254
42,-0.12839559,-0.25900295
43,-0.06522621,-0.24379024
44,0.08998147,-0.03516409
45,0.08343254,0.026587088
46,0.07387977,-0.18009482
47,0.01465251,0.1683786
48,-0.13694951,0.11939864
49,0.21696815,-0.06074612
50,-0.14725854,-0.24848579
51,-0.09829783,0.0728304
52,-0.24466754,0.01600792
53,0.0673651,0.25184447
54,0.07789909,-0.17679495
55,-0.21858042,-0.22392267
56,0.13911784,0.2677283
57,0.05083672,-0.22058271
58,0.047175802,0.2283132
59,0.26712292,0.14512093
60,-0.05358644,0.23458683
61,0.17786042,-0.14341316
62,0.15791011,0.13861239
63,0.16941106,0.19191937
64,-0.2562687,-0.015320841
65,0.24467106,-0.08966372
66,-0.2529013,-0.059293576
67,0.18622704,0.22283389
68,-0.1938258,0.17551771
69,0.02662418,-0.14795387
70,-0.13457404,-0.14236708
71,0.091311455,0.028960612
72,0.1930815,0.0472325
73,-0.17721446,0.13318077
74,-0.13969512,-0.1027377
75,0.19426648,-0.036490098
76,0.10397235,-0.21184605
77,-0.10759512,-0.2527503
78,-0.034282647,-0.0029620389
79,-0.24327503,0.1730211
